				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
8389	G10465		PMI998													Mutasa	Binga 	-22.40277	34.14530						18						79.0%													
8500	G10466		PMI999													Thies	Savelugu 	-1.30364	29.00730						188						86.2%													
8387	G10467		PMI2274													Tarikpaa	Moshi	14.16666	40.75503						88						100.0%													
8386	G10460		PMI1589													Mwogo	Kilosa	-17.51733	47.15166						116						99.9%													
8385	G10461		PMI1588													Dangur	Namacurra	-0.11314	44.36920						275						21.0%													
8384	G10462		PMI98													Tugu	Tarime	-1.50008	32.36472						150						92.5%													
8383	G10463		PMI99													Kigoma	Badiagara	-1.50000	34.34105						153						5.0%													
8382	G10012		PMI2275													Kitgum	Bumula	11.43324	34.73359						152						35.0%													
8381	G10468		PMI94													Savelugu	Raya-Azebo	-14.81194	39.00166						155						65.8%													
8380	G10469		PMI95													Ngara	Boukoumbe 	-25.98805	30.75798						276						59.0%													
8549	G11269		PMI96													Binga 	Hoima	-16.13985	28.83138						157						10.0%													
8548	G11268		PMI97													Gaoua 	Tambacounda	-25.91307	35.78333						159						39.0%													
12061	G11265		PMI90													Savelugu 	Teso	10.96666	29.40250						278						82.2%													
8545	G11264		PMI91													AMBILOBE	Kirarambogo	-23.60000	34.36472						238						18.0%													
1223	G11267		PMI92													Moshi	Niayes	-13.12700	27.60666						234						83.1%													
8547	G11266		PMI93													Kilosa	Cunene	-4.34862	30.11273						231						51.8%													
8546	G11261		PMI1603													Namacurra	Velingara	-16.09960	29.56111						48						88.0%													
8541	G11260		PMI2270													Namacurra 	Mvomero	-22.14861	35.59100						49						72.6%													
8540	G11263		PMI2271													Tarime	Kingasani	17.57069	7.33611						46						55.0%													
8543	G11262		PMI1606													BETIOKY SUD	Karambi	6.26638	35.59083						47						93.3%													
8542	G11118		PMI2273													Raya-Azebo	Apac 	6.39712	-3.99617						44						95.0%													
5737	G10028		PMI1055													Rachuonyo 	Bunbuna	-19.83542	32.81859						45						80.0%													
12063	G8651		PMI1054													Chiredzi	Muleba	14.50000	34.25000						42						68.4%													
5629	G10024		PMI1057													Boukoumbe 	Sambiruk	11.14218	39.78330						43						94.7%													
5628	G10025		PMI1056													Teso 	Anjozorobe	-15.62649	34.29364						40						1.3%													
5627	G10026		PMI1051													Gokwe South	Matola A	-11.03333	36.75750						118						26.0%													
5626	G9709		PMI1050													Hoima	Babile	12.65001	31.18083						323						99.8%													
5625	G10020		PMI1053													Teso	Chewaka	-24.80632	29.04440						321						65.0%													
5624	G10021		PMI1052													BETAFO	Kivumu 	6.57822	-17.39079						5						42.0%													
5623	G10022		PMI1059													Niayes	Aweitu-Gendosa	-20.69472	-0.85333						9						98.7%													
12065	G10023		PMI1058													Upper Marsh Project	Fenoarivo Be	-15.01826	46.65000						201						97.3%													
8493	G11009		PMI1297													Cunene	Kapolowe	-18.97055	0.06527						147						34.3%													
7695	G11008		PMI1296													Velingara	Chiredzi 	-0.72861	28.25266						203						23.0%													
7696	G11001		PMI1295													Mvomero	Sibu-Sire	3.26629	47.01083						145						84.0%													
7697	G11000		PMI1294													Busoro 	Twapia	-17.95150	-9.23250						205						71.8%													
7690	G11003		PMI1293													Kingasani	Baraoueli	11.41668	39.23333						143						61.0%													
7691	G11002		PMI1292													Apac 	Rushinga 	-2.23153	38.24708						207						80.9%													
7692	G11005		PMI1291													MANANDRIANA	Halaba	-15.72000	8.18160						141						8.0%													
7693	G11004		PMI1290													Bunbuna	Shikabeta	9.20000	30.00222						209						40.0%													
8499	G11007		PMI1299													Muleba	Malhem Hodar	-9.52963	32.53182						461						99.1%													
8498	G11006		PMI1298													Seme district	Betafo	16.77531	30.65583						779						35.1%													
7698	G8659		PMI2599													Sambiruk	Ampanihy	-1.47444	33.27388						148						25.0%													
7699	G8658		PMI2598													Matola A	Mocuba	-7.96666	-10.51027						149						60.4%													
12214	G10288		PMI2595													Babile	Muheza	-17.18161	-5.76667						77						63.0%													
5995	G10289		PMI2594													Karonga 	Montserrado 	-19.60944	28.40608						76						91.2%													
10885	G8848		PMI2597													Nicoadala 	Jorkole	-22.21732	15.28453						75						94.1%													
5997	G8849		PMI2596													Chewaka	Matola C	-17.78264	-0.81888						74						78.8%													
5996	G8846		PMI2591													Karambi 	Guediawaye	-6.14179	32.62770						73						87.0%													
10880	G8847		PMI2590													Kasama	Mufulira	-16.91510	32.83299						72						68.5%													
10881	G8844		PMI2593													Aweitu-Gendosa	Mbour	10.61970	-13.60629						71						97.8%													
10882	G8845		PMI2592													Mufulira	Nkhata Bay	10.33167	29.95237						70						66.7%													
10883	G8842		PMI2759													Kapolowe	Dano	-1.06716	-14.80000						79						93.0%													
13728	G8843		PMI2758													Chiredzi 	Midongy Atsimo	-13.46638	30.33100						78						96.3%													
13729	G8840		PMI2757													Sibu-Sire	Kaffrine	-0.33333	36.89124						282						2.0%													
5999	G8841		PMI2276													Twapia	Musanze 	6.70717	38.63333						144						5.6%													
5998	G10738		PMI2755													Baraoueli	Koulikoro	7.63333	33.93333						684						29.0%													
5663	G10739		PMI2754													Rushinga 	Mazabuka	16.46130	-3.30570						266						1.2%													
11867	G11137		PMI2752													ANDILAMENA	Doma	-16.10000	-0.82777												19.5%													
5662	G11136		PMI2751													Shikabeta	Geita	14.48333	39.70305												72.0%													
13604	G11131		PMI2750													Malhem Hodar	Beitbridge 	-18.92722	27.35037												51.0%													
5661	G11130		PMI1121													Mocuba	Tsaratanana	15.39287	37.23129												83.7%													
7522	G11133		PMI1120													Muheza	Rusizi 	-3.59070	34.29636												90.6%													
7520	G11132		PMI1123													Montserrado 	Tanguieta 	-0.19748	39.12601												98.6%													
7521	G10730		PMI1122													Jorkole	Uyui	9.84083	-6.00000												97.0%													
5667	G10731		PMI1125													Matola C	Fianar II	12.95472	33.64861												90.4%													
5666	G10733		PMI1124													Guediawaye	Mwogo	13.06830	-9.62527												93.8%													
13608	G10734		PMI1127													Moonga	Bougouni	-2.05467	31.11660												76.0%													
5665	G11138		PMI1126													Mbour	Nyakach	7.86070	30.22390																									
5664	G10737		PMI1129													Lodja 	Ambohimahasoa	10.82499	36.52632																									
6143	G10510		PMI1128													MAMPIKONY	Homa Bay	-5.89611	38.70000																									
6142	G10511		PMI2156													Nkhata Bay	Bandiagara	-2.22500	30.78650																									
6141	G10512		PMI220													Koulikoro	Mutare	-19.26916	1.69139																									
6140	G10513		PMI221													Kaffrine	Gem	-13.26077	34.33249																									
6147	G10514		PMI222													Musanze 	Mopeia 	11.36666	38.47550																									
6146	G10515		PMI1873													Busia	Busia	-9.47290	32.79636																									
6145	G10516		PMI866													Mazabuka	Likoma Island	-17.49711	38.47000																									
6144	G10517		PMI1871													Doma	Miesso	-20.53027	44.74555																									
6149	G10518		PMI223													Geita	Adama	-5.28908	46.85000																									
6148	G10519		PMI1877													Hurungwe	Fuamah	8.27500	34.56160																									
13618	G10807		PMI1876													Beitbridge 	Dedza 	-0.10000	26.95000																									
13619	G10356		PMI1875													AMBATO BOENI	Nyando 	0.13767	36.93326																									
13614	G10357		PMI867													Rusizi 	Tororo	-19.16666	47.43361																									
15410	G10354		PMI224													Tanguieta 	Betioky Sud	8.63333	-6.82792																									
13616	G9944		PMI1879													Uyui	Atsimondrano	-13.78074	16.15809																									
13617	G10352		PMI1878													Kaoma	Yong	11.38000	31.66670																									
13610	G10353		PMI225													Bougouni	Isoka	9.23037	-14.55845																									
13611	G10350		PMI2375													Nyakach	Manueli	-9.34500	46.98305																									
13612	G10351		PMI2374													Homa Bay	Nhamatanda	-16.79694	34.73333																									
13613	G10430		PMI2377													Bandiagara	Mufweshya	-15.21751	35.26374																									
11289	G10358		PMI2376													Mutare	Chimoio	-16.95000	28.41667																									
11288	G10359		PMI2370													Apac	Solwezi	-14.37823	38.44232																									
16067	G9830		PMI2373													Gem	Cankuzo	-15.51210	32.26560																									
16061	G9831		PMI2372													Mopeia 	Chipepo	-23.89650	-10.18583																									
16063	G9832		PMI149													Likoma Island	Busoro	-17.49000	28.81499																									
16069	G9833		PMI227													San Joao	Bukora	8.00000	15.73331																									
11287	G9834		PMI2379													Miesso	Tombouctou	-6.44222	2.55766																									
11286	G9835		PMI2378													Adama	Ndioukhane	-15.44000	-9.81249																									
15840	G9836		PMI2577													Fuamah	Kibuye 	-4.10107	-3.05897																									
13531	G9946		PMI2576													Dedza 	Kafue	-14.05832	29.91527																									
13530	G8443		PMI2575													Nyando 	Dodoma	-23.35417	-3.61031																									
13537	G8440		PMI2574													Tororo	Podor	4.30274	46.08333																									
13536	G8441		PMI2573													MAEVATANANA	Nanton	-16.32600	29.99063																									
13538	G8446		PMI2572													Yong	Zenzelima	-12.99172	27.52350																									
15690	G8447		PMI2571													Isoka	Budalangi	-3.20000	15.41131																									
12004	G8444		PMI2570													Manueli	Kyela	-18.21110	27.34410																									
12002	G8445		PMI2579													Gao 	Handeni	14.34298	26.40060																									
12003	G8448		PMI2578													Boane	Bankass	-2.62070	38.83333																									
11759	G8449		PMI963													Nhamatanda	Gobu-Seyo	-6.71377	29.85000																									
12001	G9719		PMI2219													Mufweshya	Gakoma	-15.28166	34.46337																									
11595	G9718		PMI868													Chimoio	Brickaville	8.12110	33.48333																									
14534	G9715		PMI1909													Solwezi	Mugeba	9.40750	46.38333																									
11597	G9714		PMI1908													Cankuzo	Gwembe	-0.65125	37.46666																									
14535	G9717		PMI1907													Chipepo	Kadoma	13.98255	33.87896																									
9539	G9716		PMI1906													Busoro	Ihosy	-18.28972	34.91666																									
9538	G9711		PMI1905													Bukora	Nyamankalo	0.46077	29.25752																									
9537	G9710		PMI869													Tombouctou	Meconta	9.58583	38.11000																									
9536	G9713		PMI1903													Ndioukhane	Amboasary	11.34810	32.00000																									
9535	G9712		PMI1902													Kibuye 	Margibi 	10.45527	49.05000																									
9534	G8668		PMI1901													Kafue	C. Tete	-12.80383	37.28000																									
9533	G8669		PMI1900													Dodoma	Magu	6.51147	27.82170																									
9532	G8662		PMI2106													Podor	Gao	-19.83333	29.63333																									
9531	G8663		PMI2107													Nanton	Kawere	0.71666	-2.81333																									
9530	G8660		PMI2104													Huambo	Morrumbala1	-20.76666	47.11611																									
14532	G8661		PMI2105													Mubuga 	Moamba	-3.52083	-13.66722																									
13445	G8666		PMI2102													Budalangi	Boane	14.21516	32.87555																									
13444	G8667		PMI2103													Kyela	Mpanda	14.69278	34.74305																									
13441	G8664		PMI2100													Handeni	Misserete 	12.74665	38.48339																									
13440	G8665		PMI2101													Bankass	Tigray	-18.31722	37.46814																									
9403	G9391		PMI1534													Gobu-Seyo	Merti	-13.12305	28.73389																									
9402	G9390		PMI2109													Gakoma	Kita	-14.73852	40.00000																									
6369	G9393		PMI567													ATSIMONDRANO	Bambasi	6.90555	37.25000																									
6368	G9392		PMI566													Mugeba	Mukobeko	-15.13426	34.52107																									
9407	G9395		PMI565													Gwembe	Mwanachingwala	-0.15388	46.08722																									
9406	G9394		PMI564													Kadoma	Kitwe	6.92611	47.65138																									
9405	G9397		PMI563													SOAVINANDRIANA	Medina Fall	-17.50000	46.90527																									
9404	G9396		PMI562													Nyamankalo	Masaiti	-5.10000	-16.92255																									
6363	G9399		PMI561													Meconta	Tulla 	-5.45000	36.37658																									
6362	G9398		PMI560													Jabitehinan	Apac	10.22833	-15.04994																									
6361	G9829		PMI1613													Natitinngou 	Siba Biche	-0.18333	-16.40000																									
6360	G9828		PMI1612													TSI/DIDY	Dakar	-18.33305	48.57305																									
6367	G9001		PMI1611													Morrumbala 	Motaze	-16.11055	27.44520																									
6366	G9000		PMI1610													Margibi 	Mamba Kaba	12.86666	34.11146																									
6365	G9003		PMI960													C. Tete	Muhoroni	-1.98497	1.37827																									
6364	G9002		PMI1616													Rushinga	C. Beira	-0.28333	-1.06666																									
12226	G9005		PMI569													Magu	Hawi Gudina	13.61833	-1.06460																									
12225	G9004		PMI568													Kawere	Adjohoun	-0.31380	35.40949																									
12223	G9007		PMI1535													Moamba	Kawambwa	-6.50000	39.24907																									
12220	G9006		PMI969													Niakar	Kabulongo	8.66666	-9.36730																									
12229	G9009		PMI968													Kicukiro 	Rarieda	-24.28333	29.62793																									
14650	G9008		PMI219													Dangbo 	Matola	-18.93330	38.14499																									
15878	G9629		PMI218													Mpanda	Marovoay	10.48888	31.05338																									
15700	G8717		PMI749													Misserete 	Iakora	-2.53027	34.75189																									
15701	G8714		PMI748													Kita 	Bunkpurugu-Yunyoo 	-1.44590	-0.11207																									
15702	G8715		PMI747													Tigray	Kerou 	-16.91666	-17.00000																									
13428	G8712		PMI962													Merti	Dondo	14.38638	-9.48472																									
15704	G8713		PMI217													Katana 	Toukoutouna 	-2.32150	35.00583																									
14523	G8710		PMI216													Kita	Morrumbala	-12.37006	32.42330																									
13558	G8711		PMI967													Bambasi	Asendabo	-13.20000	36.98333																									
16065	G9621		PMI966													Mukobeko	Gashoho	14.10583	40.07888																									
16093	G9620		PMI965													Mwanachingwala	Marindi	7.20000	46.75000																									
11966	G9623		PMI212													AMBOHIDRATRIMO	Maganja da Costa 	13.49668	32.25766																									
11961	G9622		PMI2659													Copargo	Woribugu	-16.72859	46.83333																									
15674	G9625		PMI691													Kitwe	Gisenyi	-14.94072	-13.43297																									
15675	G9624		PMI690													Medina Fall	Kisumu West 	14.80129	28.93250																									
15676	G8718		PMI693													Masaiti	Nasawara	-5.90109	-15.11552																									
15677	G8719		PMI692													Tulla 	Salima 	6.51518	2.59409																									
15670	G9535		PMI695													AMBATOFINANDRAHANA	Nchelenge	-19.11638	35.53611																									
15672	G9534		PMI694													Siba Biche	Niono	-6.17302	36.66666																									
15673	G9537		PMI697													Dakar	Tugu	9.23307	32.64547																									
15679	G9536		PMI696													Motaze	Ilu Gelan	-16.64630	46.01666																									
7669	G9531		PMI699													Mamba Kaba	Mimuli	8.31962	32.53763																									
7668	G9530		PMI698													Muhoroni	Gokwe South 	-25.03250	35.95000																									
7661	G9533		PMI1729													C. Beira	Mutoko	12.22416	30.10250																									
7660	G9532		PMI1728													MIARINARIVO	Rukara 	9.75000	27.94943																									
7663	G9539		PMI361													Kati	Kpaai	-9.93336	34.21277																									
7662	G9538		PMI360													Hawi Gudina	Catuane	-23.86048	28.36000																									
7665	G11125		PMI363													Zenzlima-Robit	Ambatofinandrahana	-15.08119	-3.60600																									
7664	G11122		PMI362													Adjohoun	Malhampsene	-16.55048	23.57285																									
7667	G11123		PMI365													Kati 	Moonga	-2.30890	28.84133																									
7666	G10704		PMI364													Kawambwa	Omo Nada	6.94222	46.64361																									
5443	G8721		PMI367													AMPANIHY	Arumeru	-25.03333	49.56888																									
5442	G9639		PMI366													Thilane	Luanshya	14.34855	14.65878																									
5446	G11128		PMI369													Kabulongo	Nimba 	14.25000	34.60000																									
5445	G10702		PMI368													Rarieda	Matola Rio	9.55166	47.60833																									
5444	G9630		PMI2968													Matola	Richard Toll	-17.22138																										
11334	G9631		PMI2969													Koulikoro 	Mashonaland East	-17.03333																										
1142	G11258		PMI2161													Mocuba 	Kizhingezhinge	10.50634																										
15452	G10442		PMI2651													Kerou 	Mubuga	-12.92926																										
15453	G10443		PMI2960													Dondo	Pemba	14.75000																										
8628	G11250		PMI2961													Bamako 	Babati	-23.74248																										
15455	G11251		PMI2962													Toukoutouna 	Kilombero	16.27329																										
8158	G11252		PMI2963													Morrumbala	Mangochi 																											
8159	G11253		PMI2964													Asendabo	Unguja																											
8156	G11254		PMI2965													Gashoho	Teso South																											
8157	G10440		PMI2966													Marindi	Bugesera 																											
8154	G11256		PMI2967													Maganja da Costa 	Copargo																											
8155	G11257		PMI354													MAHABO	Mudzi 																											
8152	G10441		PMI1268													Woribugu	Mahabo																											
8153	G10446		PMI1269													Gisenyi	Ndhiwa																											
8150	G10447		PMI355													Kisumu West 	Muibi																											
8151	G10444		PMI1262													Salima 	Tamale 																											
11339	G10445		PMI1263													TULEAR II	Huila																											
11119	G11034		PMI1260													FIANAR II	Ankazobe																											
11118	G11035		PMI1261													Nchelenge	Chikwawa																											
11111	G10039		PMI1266													Niono	Cobly 																											
13553	G10038		PMI1267													C.Maxixe	Karungu																											
11113	G11030		PMI1264													Mimuli	Kanungu																											
11115	G11031		PMI1265													Bumula	Katete																											
14476	G11032		PMI2162													SAKARAHA	Andilamena																											
1220	G11033		PMI357													Mutoko	Niakhar																											
8711	G10033		PMI1468													Rukara 	Nkanka																											
8712	G10032		PMI1469													Kpaai	Kersa																											
8713	G10031		PMI1464													Catuane																												
8714	G10030		PMI350													Kanungu																												
8715	G10037		PMI1466													Katete																												
8716	G9951		PMI1467													Omo Nada																												
8717	G10035		PMI1460													Arumeru																												
8718	G10034		PMI1461													Luanshya																												
8719	G9950		PMI1462													Chikwawa 																												
8538	G10297		PMI351													Nimba 																												
8539	G10296		PMI188													Matola Rio																												
8530	G10295		PMI185													Tambacounda 																												
8531	G10294		PMI184													Richard Toll																												
8532	G10293		PMI187													Kizhingezhinge																												
8533	G10292		PMI186													Tshikaji 																												
8534	G10727		PMI181													Pemba																												
8535	G9845		PMI180													Bougouni 																												
8536	G10722		PMI183													Pehunco district																												
8537	G9844		PMI182													Pebane 																												
14505	G8873		PMI2814													Babati																												
11024	G8872		PMI2815													AMBANJA																												
11026	G8871		PMI2816													Kilombero																												
11020	G8870		PMI2817													Halaba Town																												
11022	G9847		PMI2810													Mangochi 																												
5612	G8875		PMI2811													Unguja																												
5613	G8874		PMI2812													Bla 																												
11029	G11100		PMI2813													Teso South																												
10217	G11101		PMI2819													Bugesera 																												
7687	G11102		PMI985													ANTSIRABE 2																												
7686	G9846		PMI984													Mudzi 																												
7685	G11104		PMI987													FORT DAUPHIN																												
7684	G11105		PMI986													Ndhiwa																												
7683	G11106		PMI981													Seme 																												
7682	G11107		PMI980													Muibi																												
7681	G11108		PMI983													Gokwe South 																												
10211	G9841		PMI982													Tamale 																												
7689	G9840		PMI989													Huila																												
7688	G9843		PMI988													Chikwawa																												
10212	G10509		PMI1598													Cobly 																												
