				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
8943	G8678		PMI681													MIDONGY ATSIMO	Gihofi	-24.69361	29.91950						100						90.8%													
8942	G8671		PMI686													Shashemene	Kati	-12.93998	47.01527						101						84.5%													
8945	G8670		PMI687													District #1	Nyamagabe 	8.73333	29.30470						106						70.5%													
8944	G8673		PMI684													Niono 	Tsi/Didy	-16.09683	32.45916						107						76.4%													
8947	G8672		PMI685													Myooye	Kihere 	6.05865	-15.55055						104						96.7%													
8946	G8675		PMI688													Abaya	Chipulukusu	-3.21000	-8.66005						105						33.7%													
8949	G8674		PMI689													Tolon	Mushili	-10.16055	34.35000						39						31.0%													
8948	G8677		PMI372													Singida	Nyanza 	-16.27080	-0.90166						787						29.4%													
11086	G8676		PMI373													VANGAINDRANO	Mampikony	-2.34800	29.60500						33						69.5%													
12237	G9074		PMI370													Gihofi	Kabondo	-5.10242	34.36666						32						39.4%													
12230	G9075		PMI371													IAKORA	Pehunco	-2.34960	37.16940						31						64.0%													
15411	G9076		PMI376													Nyamagabe 	Kasimure	-25.60582	35.19861						30						92.0%													
12239	G9077		PMI377													Kihere 	Kinondoni	12.55438	2.00194						37						51.5%													
12238	G9070		PMI374													Chipulukusu	Katana	-17.01000	34.50000						36						89.5%													
14625	G9071		PMI375													Mushili	Morondava	-2.21683	46.12555						35						77.0%													
14627	G9072		PMI378													Nyanza 	Checheche	0.28285	29.18557						34						90.3%													
14621	G9073		PMI379													Kabondo	Sanyati 	14.80452	34.02606						246						58.5%													
15864	G9812		PMI2973													Pehunco	Changara	-17.32889	35.34156						648						82.0%													
13727	G9813		PMI2972													Kasimure	Tolon 	14.77323	-16.54472						431						31.9%													
15866	G9811		PMI2971													Kinondoni	Jabi Tehnan	-2.51222	28.63333						627						24.0%													
14629	G9078		PMI2970													Nyando	Shebe	-16.49750	37.05855						338						75.3%													
15862	G9079		PMI2975													Checheche	Materi 	0.61646	32.45000						336						6.0%													
14685	G9814		PMI2974													Sanyati 	Kamhororo	9.70947	-17.44664						60						62.0%													
96	G9815		PMI1279													Changara	Seme	-14.06351	39.27198						61						80.2%													
5182	G9498		PMI1278													Tolon 	Kadiolo	-19.90483	32.44845						62						33.0%													
5186	G9499		PMI1275													Shebe	Kahama	-10.53330	37.54750						63						79.5%													
5187	G9496		PMI1274													Materi 	Nyatike	-21.75000	38.70325						64						92.7%													
5184	G9497		PMI1277													Kamhororo	Fort Dauphin	-1.80078	47.63333						65						NA													
15972	G9494		PMI1276													Kadiolo	Gaoua	-1.95010	28.21314						66						35.5%													
14710	G9495		PMI1271													Kahama	Senanga	-6.51709	33.98333						67						13.3%													
14711	G9492		PMI1270													Nyatike	Chililabombwe	6.62200	30.40407						68						88.5%													
14712	G9493		PMI1273													AMBOASARY	Ameya	-17.86354	-0.72944						69						98.5%													
7678	G9490		PMI1272													BETROKA	Chiure	-15.84990	35.47819						175						97.5%													
7679	G9491		PMI1479													Senanga	Koungheul	10.18333	-16.50000						173						66.0%													
7676	G8705		PMI1478													Chililabombwe	Koumpentoum	8.36690	34.45848						254						28.0%													
7677	G8704		PMI1477													SOANIERANA IVONGO	Mulungushi	1.98021	37.02687						154						93.5%													
15661	G8707		PMI1476													Ameya	Kakamega	-18.93444	27.34329						289						2.5%													
7675	G8706		PMI1475													Chiure	Dangbo	-8.45000	30.10220						387						96.6%													
7672	G8701		PMI1474													Mimuli 	Nkhotakota	11.17595	2.10943						249						97.2%													
7673	G8700		PMI1473													Koungheul	Ambositra	15.25000	28.48660						180						73.0%													
7670	G8703		PMI1472													Koumpentoum	Oussouye	9.51916	39.47997						187						0.0%													
7671	G8702		PMI1471													Mulungushi	Blantyre 	7.77314	-7.56666						184						48.0%													
1199	G9654		PMI1470													Kakamega	Kigali 	-12.16861	37.54131						6						14.0%													
14394	G9655		PMI198													Nkhotakota	Chibombo	-2.28567	30.21292						738						44.0%													
14397	G9656		PMI199													Oussouye	Tanguieta	-3.50000	39.00671						NR						75.8%													
14390	G9657		PMI196													Blantyre 	Djenne 	-3.13060	44.53333						267						41.5%													
14392	G8709		PMI197													Kigali 	Muheza 	-15.55000	39.11666						142						90.2%													
14398	G8708		PMI194													Chibombo	Nejo	-26.83639	46.48130						99						86.9%													
8163	G9652		PMI195													MANAKARA	Gambella Tere	-12.18041	23.60541						98						91.0%													
8162	G9653		PMI192													Nioro 	Adami-Tullu	-14.65785	47.01770						38						82.1%													
8161	G9250		PMI190													MORONDAVA	Shenen	-17.98000	-10.48441						168						22.5%													
8160	G9251		PMI2807													Djenne 	Migori	14.43900	29.72745						229						14.8%													
8167	G9252		PMI1608													Muheza 	Bagamoyo	2.27748	34.33255						8						9.0%													
1172	G9253		PMI2805													Nejo	Natitingou 	-14.41667	27.56665						227						99.7%													
1171	G9254		PMI2804													MAROVOAY	Lume	-2.30000	29.24777						90						75.0%													
8164	G9255		PMI2803													Gambella Tere	Kasama	10.49570	31.61666						93						46.0%													
8169	G9256		PMI2802													Adami-Tullu	Centenary 	-19.08833	30.03222						92						80.3%													
8168	G9257		PMI2801													Shenen	Rubaya	-15.42574	47.33333						95						86.0%													
15918	G9258		PMI1609													AMBOSITRA	Lupane 	-2.26666	30.50344						94						91.7%													
5537	G9259		PMI2809													Migori	Motepuez	-18.43333	-16.92426						97						78.3%													
5539	G9607		PMI2808													Bagamoyo	Thies	-4.40991	32.32548						96						13.0%													
5538	G10833		PMI996													Dano 	Tarikpaa	-8.39215	38.90416						11						99.0%													
14408	G10836		PMI997													Lume	Kaoma	9.34027	37.20000						10						98.4%													
14404	G10835		PMI994													Kivumu 	Dangur	-14.47755	48.01055						12						37.0%													
14406	G10834		PMI995													BORIZINY	C.Maxixe	6.56667	28.65864						15						97.7%													
14400	G10839		PMI992													Centenary 	Maevatanana	12.66666	-14.11483						14						57.0%													
14402	G9606		PMI993													Rubaya	Kigoma	-12.51780	32.67230						17						67.0%													
6475	G9605		PMI990													Lupane 	Kitgum	-5.09041	31.90000						16						83.5%													
8501	G10464		PMI991													Motepuez	Ngara	6.84276	37.21762						19						16.0%													
