Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
13055	13055 collection		man biting								1998-01-00/1998-01-00	Brazil	GAZ	00002828	-24.5	-47.8333
13056	13056 collection		man biting								1998-02-00/1998-02-00	Brazil	GAZ	00002828	-24.5	-47.8333
13057	13057 collection		man biting								1998-03-00/1998-03-00	Brazil	GAZ	00002828	-24.5	-47.8333
13058	13058 collection		man biting								1998-04-00/1998-04-00	Brazil	GAZ	00002828	-24.5	-47.8333
13059	13059 collection		man biting								1998-05-00/1998-05-00	Brazil	GAZ	00002828	-24.5	-47.8333
13060	13060 collection		man biting								1998-06-00/1998-06-00	Brazil	GAZ	00002828	-24.5	-47.8333
13061	13061 collection		man biting								1998-07-00/1998-07-00	Brazil	GAZ	00002828	-24.5	-47.8333
13062	13062 collection		man biting								1998-08-00/1998-08-00	Brazil	GAZ	00002828	-24.5	-47.8333
13063	13063 collection		man biting								1998-09-00/1998-09-00	Brazil	GAZ	00002828	-24.5	-47.8333
13064	13064 collection		man biting								1998-10-00/1998-10-00	Brazil	GAZ	00002828	-24.5	-47.8333
13065	13065 collection		man biting								1998-11-00/1998-11-00	Brazil	GAZ	00002828	-24.5	-47.8333
13066	13066 collection		man biting								1998-12-00/1998-12-00	Brazil	GAZ	00002828	-24.5	-47.8333
13067	13067 collection		man biting								1999-01-00/1999-01-00	Brazil	GAZ	00002828	-24.5	-47.8333
