Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.13577	MAP.13575.collection		man biting indoors	man biting outdoors			1991-04/1991-09	Brazil	GAZ	00002828	0.884	-52.034
MAP.13579	MAP.13575.collection		man biting indoors	man biting outdoors			1991-04/1991-09	Brazil	GAZ	00002828	0.884	-52.034
MAP.13429	MAP.13429.collection		man biting outdoors				1996-12/1996-12	Brazil	GAZ	00002828	2.826	-60.658
MAP.13452	MAP.13429.collection		man biting outdoors				1996-12/1996-12	Brazil	GAZ	00002828	2.826	-60.658
MAP.13475	MAP.13429.collection		man biting outdoors				1996-12/1996-12	Brazil	GAZ	00002828	2.826	-60.658
MAP.31581	MAP.31581.collection						2000-09/2000-09	United States of America	GAZ	00002459	36.0667	-91.1553
MAP.15175	MAP.15175.collection		man biting outdoors	man biting indoors	house resting inside		1990-07/1991-10	Guatemala	GAZ	00002936	15.258	-89.102
MAP.51026	MAP.51026.collection		indoor light trap				1993-05/1993-05	Belize	GAZ	00002934	17.497	-88.184
MAP.64319	MAP.64319.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-4.4667	-61.3667
MAP.64320	MAP.64319.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-4.4667	-61.3667
MAP.64321	MAP.64319.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-4.4667	-61.3667
MAP.14302	MAP.14302.collection		larval collection	resting outdoors	animal shed resting		1988-11/1988-11	United States of America	GAZ	00002459	25.954	-81.357
MAP.40055	MAP.40055.collection		man biting indoors	man biting outdoors		resting outdoors	1989-09/1989-09	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.14562	MAP.14562.collection		outdoor light trap				1992-05/1992-06	Mexico	GAZ	00002852	14.802	-92.467
MAP.13835	MAP.13835.collection		man biting				1994-01/1994-01	Brazil	GAZ	00002828	-3.12	-60.018
MAP.13879	MAP.13835.collection		man biting				1994-01/1994-01	Brazil	GAZ	00002828	-3.12	-60.018
MAP.13923	MAP.13835.collection		man biting				1994-01/1994-01	Brazil	GAZ	00002828	-3.12	-60.018
MAP.15330	MAP.15330.collection		house resting inside	outside shelter natural			1988-07/1988-12	Mexico	GAZ	00002852	14.801	-92.467
MAP.15345	MAP.15345.collection		larval collection				1992-12/1992-12	Brazil	GAZ	00002828	-24.605	-47.879
MAP.30358	MAP.30358.collection		man biting indoors	man biting outdoors			2002-01/2003-05	Belize	GAZ	00002934	17.1665	-88.6027
